,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
99,Jérémy Doku,€65.00m,"May 27, 2024","May 27, 2002",22,1.73,Belgium,"['Ghana', 'Belgium']",Left Winger,"               0
0   Right Winger
1  Left Midfield",Man City,,,"Aug 24, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
100,Martin Dúbravka,€1.00m,"May 27, 2024","Jan 15, 1989",35,1.91,Slovakia,[],Goalkeeper,,Newcastle,,,"Jul 1, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
101,Andrew Moran,€3.00m,"May 24, 2024","Oct 15, 2003",20,1.77,Ireland,['Ireland'],Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Brighton,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
102,Hugo Bueno,€6.00m,"May 27, 2024","Sep 18, 2002",21,1.8,Spain,['Spain'],Left-Back,"               0
0  Left Midfield",Wolves,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
103,Steven Benda,€1.00m,"May 27, 2024","Oct 1, 1998",25,1.92,Germany,[],Goalkeeper,,Fulham,,,"Aug 30, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
104,Lewis Miley,€22.00m,"May 27, 2024","May 1, 2006",18,1.89,England,[],Central Midfield,,Newcastle,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
105,Harry Wilson,€17.00m,"May 27, 2024","Mar 22, 1997",27,1.73,Wales,[],Right Winger,,Fulham,,,"Jul 24, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
106,James Bree,€2.20m,"May 24, 2024","Dec 11, 1997",26,1.78,England,[],Right-Back,,Southampton,,,"Jan 26, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
107,Yerson Mosquera,€6.00m,"Jun 7, 2024","May 2, 2001",23,1.88,Colombia,[],Centre-Back,,Wolves,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
108,Sandro Tonali,€38.00m,"May 27, 2024","May 8, 2000",24,1.81,Italy,['Italy'],Defensive Midfield,"                  0
0  Central Midfield",Newcastle,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
109,Caleb Okoli,€8.00m,"Jun 5, 2024","Jul 13, 2001",22,1.91,Italy,[],Centre-Back,,Leicester,,,"Jul 9, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
110,Cieran Slicker,€300k,"May 24, 2024","Sep 15, 2002",21,,Scotland,[],Goalkeeper,,Ipswich,,,"Jul 8, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
111,Jacob Murphy,€15.00m,"May 27, 2024","Feb 24, 1995",29,1.73,England,[],Right Winger,,Newcastle,,,"Jul 19, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
112,Malang Sarr,€4.00m,"May 27, 2024","Jan 23, 1999",25,1.83,France,"['France', 'Senegal']",Centre-Back,"           0
0  Left-Back",Chelsea,,,"Aug 27, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
113,Joe Rothwell,€2.50m,"May 24, 2024","Jan 11, 1995",29,1.85,England,[],Central Midfield,,Bournemouth,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
114,Wataru Endo,€13.00m,"May 27, 2024","Feb 9, 1993",31,1.78,Japan,[],Defensive Midfield,,Liverpool,,,"Aug 18, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
115,Sean Longstaff,€25.00m,"May 27, 2024","Oct 30, 1997",26,1.87,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Newcastle,,,"Jan 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
116,Cole Palmer,€80.00m,"May 27, 2024","May 6, 2002",22,1.89,England,[],Attacking Midfield,,Chelsea,,,"Sep 1, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
117,Alfie Whiteman,€500k,"May 27, 2024","Oct 2, 1998",25,1.88,England,['England'],Goalkeeper,,Tottenham,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
118,Jay Stansfield,€3.50m,"May 24, 2024","Nov 24, 2002",21,1.87,England,[],Centre-Forward,,Fulham,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
119,Craig Dawson,€2.00m,"May 27, 2024","May 6, 1990",34,1.88,England,['England'],Centre-Back,"            0
0  Right-Back",Wolves,,,"Jan 22, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
120,Kobbie Mainoo,€50.00m,"May 27, 2024","Apr 19, 2005",19,1.8,England,[],Central Midfield,,Man Utd,,,"Jan 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
121,George Hirst,€4.00m,"May 24, 2024","Feb 15, 1999",25,1.91,England,"['England', 'Scotland']",Centre-Forward,,Ipswich,,,"Jul 13, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
122,Max Aarons,€16.00m,"May 27, 2024","Jan 4, 2000",24,1.71,England,"['England', 'Jamaica']",Right-Back,"           0
0  Left-Back",Bournemouth,,,"Aug 10, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
123,Alexander Isak,€75.00m,"May 27, 2024","Sep 21, 1999",24,1.92,Sweden,[],Centre-Forward,,Newcastle,,,"Aug 26, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
124,Cristian Romero,€60.00m,"May 27, 2024","Apr 27, 1998",26,1.85,Argentina,['Argentina'],Centre-Back,,Tottenham,,,"Aug 30, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
125,Ui-jo Hwang,€1.80m,"May 31, 2024","Aug 28, 1992",31,1.85,"Korea, South","['Korea, South']",Centre-Forward,"              0
0   Left Winger
1  Right Winger",Nottm Forest,,,"Aug 26, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
126,Taiwo Awoniyi,€28.00m,"May 27, 2024","Aug 12, 1997",26,1.83,Nigeria,[],Centre-Forward,,Nottm Forest,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
127,Bart Verbruggen,€18.00m,"May 27, 2024","Aug 18, 2002",21,1.94,Netherlands,[],Goalkeeper,,Brighton,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
128,David Datro Fofana,€12.00m,"May 27, 2024","Dec 22, 2002",21,1.8,Cote d'Ivoire,"[""Cote d'Ivoire""]",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Chelsea,,,"Jan 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
129,Tosin Adarabioyo,€20.00m,"May 27, 2024","Sep 24, 1997",26,1.96,England,[],Centre-Back,,Chelsea,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
130,Yunus Emre Konak,€3.50m,"May 27, 2024","Jan 10, 2006",18,1.81,Türkiye,[],Defensive Midfield,,Brentford,,,"Jan 11, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
131,Rodrigo Muniz,€20.00m,"May 27, 2024","May 4, 2001",23,1.86,Brazil,['Brazil'],Centre-Forward,,Fulham,,,"Aug 20, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
132,George Edmundson,€350k,"May 24, 2024","Aug 15, 1997",26,1.9,England,[],Centre-Back,,Ipswich,,,"Jul 27, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
133,Heung-min Son,€45.00m,"May 27, 2024","Jul 8, 1992",32,1.84,"Korea, South",[],Left Winger,,Tottenham,,,"Aug 28, 2015","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
134,Ross Stewart,€4.50m,"May 24, 2024","Jul 11, 1996",27,1.88,Scotland,[],Centre-Forward,,Southampton,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
135,Kiernan Dewsbury-Hall,€30.00m,"May 24, 2024","Sep 6, 1998",25,1.78,England,[],Central Midfield,,Chelsea,,,"Jul 2, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
136,Caoimhín Kelleher,€20.00m,"May 27, 2024","Nov 23, 1998",25,1.88,Ireland,['Ireland'],Goalkeeper,,Liverpool,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
137,Matty Cash,€28.00m,"May 27, 2024","Aug 7, 1997",26,1.85,Poland,[],Right-Back,,Aston Villa,,,"Sep 3, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
138,Giovani Lo Celso,€16.00m,"May 27, 2024","Apr 9, 1996",28,1.77,Argentina,"['Argentina', 'Italy']",Attacking Midfield,"                  0
0  Central Midfield
1    Right Midfield",Tottenham,,,"Jul 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
139,Joe Hodge,€1.50m,"May 24, 2024","Sep 14, 2002",21,1.72,Ireland,[],Defensive Midfield,,Wolves,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
140,Tommy Doyle,€10.00m,"May 27, 2024","Oct 17, 2001",22,1.72,England,[],Central Midfield,,Wolves,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
141,Nayef Aguerd,€35.00m,"May 27, 2024","Mar 30, 1996",28,1.9,Morocco,[],Centre-Back,,West Ham,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
142,James Garner,€22.00m,"May 27, 2024","Mar 13, 2001",23,1.82,England,['England'],Defensive Midfield,"                  0
0  Central Midfield
1    Right Midfield",Everton,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
143,Curtis Jones,€35.00m,"May 27, 2024","Jan 30, 2001",23,1.85,England,[],Central Midfield,,Liverpool,,,"Jul 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
144,Corrie Ndaba,€350k,"May 30, 2024","Dec 25, 1999",24,1.88,Ireland,[],Left-Back,,Ipswich,,,"Jul 1, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
145,Odsonne Edouard,€18.00m,"May 27, 2024","Jan 16, 1998",26,1.87,France,"['France', 'French Guiana']",Centre-Forward,,Crystal Palace,,,"Aug 31, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
146,Ben Chilwell,€28.00m,"May 27, 2024","Dec 21, 1996",27,1.8,England,"['England', 'New Zealand']",Left-Back,"               0
0  Left Midfield",Chelsea,,,"Aug 26, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
147,Beto,€20.00m,"May 27, 2024","Jan 31, 1998",26,1.94,Portugal,"['Guinea-Bissau', 'Portugal']",Centre-Forward,,Everton,,,"Aug 29, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
148,Rhys Williams,€1.80m,"May 27, 2024","Feb 3, 2001",23,1.95,England,"['England', 'Jamaica']",Centre-Back,,Liverpool,,,"Jul 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
149,Harry Souttar,€8.00m,"May 24, 2024","Oct 22, 1998",25,1.98,Australia,[],Centre-Back,,Leicester,,,"Jan 31, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
150,Edson Álvarez,€35.00m,"May 27, 2024","Oct 24, 1997",26,1.9,Mexico,[],Defensive Midfield,,West Ham,,,"Aug 10, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
151,Sékou Mara,€6.00m,"May 24, 2024","Jul 30, 2002",21,1.83,France,[],Centre-Forward,,Southampton,,,"Jul 25, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
152,Fábio Vieira,€22.00m,"May 27, 2024","May 30, 2000",24,1.7,Portugal,[],Attacking Midfield,,Arsenal,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
153,Ben White,€55.00m,"May 27, 2024","Oct 8, 1997",26,1.86,England,['England'],Right-Back,"                    0
0         Centre-Back
1  Defensive Midfield",Arsenal,,,"Jul 30, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
154,Vitaly Janelt,€22.00m,"May 27, 2024","May 10, 1998",26,1.84,Germany,[],Defensive Midfield,,Brentford,,,"Oct 3, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
155,Ryan Yates,€12.00m,"May 27, 2024","Nov 21, 1997",26,1.9,England,[],Central Midfield,,Nottm Forest,,,"Jul 1, 2016","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
156,Kalvin Phillips,€25.00m,"May 27, 2024","Dec 2, 1995",28,1.79,England,"['England', 'Jamaica']",Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Man City,,,"Jul 4, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
157,Nicolás Domínguez,€17.00m,"May 27, 2024","Jun 28, 1998",26,1.79,Argentina,[],Central Midfield,,Nottm Forest,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
158,Massimo Luongo,€500k,"May 24, 2024","Sep 25, 1992",31,1.76,Australia,"['Australia', 'Italy']",Central Midfield,"                    0
0  Defensive Midfield",Ipswich,,,"Jan 5, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
159,Lukasz Fabianski,€700k,"May 27, 2024","Apr 18, 1985",39,1.9,Poland,[],Goalkeeper,,West Ham,,,"Jul 1, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
160,Alejandro Garnacho,€45.00m,"May 27, 2024","Jul 1, 2004",20,1.8,Argentina,"['Argentina', 'Spain']",Left Winger,"              0
0  Right Winger",Man Utd,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
161,Taylor Harwood-Bellis,€22.00m,"May 24, 2024","Jan 30, 2002",22,1.88,England,[],Centre-Back,,Southampton,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
162,Hannibal,€9.00m,"Jun 7, 2024","Jan 21, 2003",21,1.83,Tunisia,[],Attacking Midfield,,Man Utd,,,"Jul 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
163,Alisson,€28.00m,"May 27, 2024","Oct 2, 1992",31,1.93,Brazil,[],Goalkeeper,,Liverpool,,,"Jul 19, 2018","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
164,Pedro Porro,€45.00m,"May 27, 2024","Sep 13, 1999",24,1.73,Spain,['Spain'],Right-Back,"                0
0  Right Midfield",Tottenham,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
165,João Pedro,€45.00m,"May 27, 2024","Sep 26, 2001",22,1.88,Brazil,[],Centre-Forward,,Brighton,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
166,Yunus Emre Konak,€3.50m,"May 27, 2024","Jan 10, 2006",18,1.81,Türkiye,['Türkiye'],Defensive Midfield,"                  0
0  Central Midfield",Brentford,,,"Jan 11, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
167,Matt Turner,€7.00m,"May 27, 2024","Jun 24, 1994",30,1.91,United States,"['Lithuania', 'United States']",Goalkeeper,,Nottm Forest,,,"Aug 9, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
168,Ivan Toney,€50.00m,"May 27, 2024","Mar 16, 1996",28,1.85,England,"['England', 'Jamaica']",Centre-Forward,,Brentford,,,"Sep 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
169,Elliot Anderson,€15.00m,"May 27, 2024","Nov 6, 2002",21,1.79,Scotland,[],Central Midfield,,Nottm Forest,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
170,Alex Iwobi,€25.00m,"May 27, 2024","May 3, 1996",28,1.83,Nigeria,[],Left Winger,,Fulham,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
171,Matt Turner,€7.00m,"May 27, 2024","Jun 24, 1994",30,1.91,United States,[],Goalkeeper,,Nottm Forest,,,"Aug 9, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
172,Rayan Aït-Nouri,€35.00m,"May 27, 2024","Jun 6, 2001",23,1.8,Algeria,[],Left-Back,,Wolves,,,"Jul 9, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
173,Yan Couto,€25.00m,"Jun 7, 2024","Jun 3, 2002",22,1.68,Brazil,[],Right-Back,,Man City,,,"Jul 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
174,Marc Guiu,€7.50m,"Jun 7, 2024","Jan 4, 2006",18,1.87,Spain,['Spain'],Centre-Forward,,Chelsea,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
175,Yankuba Minteh,€16.00m,"May 31, 2024","Jul 22, 2004",19,1.8,The Gambia,[],Right Winger,,Brighton,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
176,Jonathan Panzo,€1.20m,"Jun 4, 2024","Oct 25, 2000",23,1.88,England,"['England', ""Cote d'Ivoire""]",Centre-Back,"           0
0  Left-Back",Nottm Forest,,,"Jan 31, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
177,Dominic Solanke,€40.00m,"May 27, 2024","Sep 14, 1997",26,1.86,England,[],Centre-Forward,,Bournemouth,,,"Jan 4, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
178,Ibrahima Konaté,€45.00m,"May 27, 2024","May 25, 1999",25,1.94,France,"['France', 'Mali']",Centre-Back,,Liverpool,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
179,Cheick Doucouré,€35.00m,"May 27, 2024","Jan 8, 2000",24,1.8,Mali,['Mali'],Defensive Midfield,,Crystal Palace,,,"Jul 11, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
180,Fábio Carvalho,€14.00m,"May 24, 2024","Aug 30, 2002",21,1.7,Portugal,"['England', 'Portugal']",Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Liverpool,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
181,Emerson Royal,€18.00m,"May 27, 2024","Jan 14, 1999",25,1.83,Brazil,"['Brazil', 'Spain']",Right-Back,"                0
0  Right Midfield
1     Centre-Back",Tottenham,,,"Aug 31, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
182,Tyrone Mings,€13.00m,"May 27, 2024","Mar 13, 1993",31,1.96,England,[],Centre-Back,,Aston Villa,,,"Jul 8, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
183,Nathan Broadhead,€5.00m,"May 24, 2024","Apr 5, 1998",26,1.78,Wales,['Wales'],Left Winger,"                0
0    Right Winger
1  Centre-Forward",Ipswich,,,"Jan 9, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
184,Odysseas Vlachodimos,€7.00m,"May 27, 2024","Apr 26, 1994",30,1.91,Greece,[],Goalkeeper,,Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
185,Mark Travers,€3.50m,"May 27, 2024","May 18, 1999",25,1.91,Ireland,[],Goalkeeper,,Bournemouth,,,"Jul 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
186,Oliver Skipp,€15.00m,"May 27, 2024","Sep 16, 2000",23,1.75,England,[],Defensive Midfield,,Tottenham,,,"Jul 1, 2018","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
187,Neco Williams,€17.00m,"May 27, 2024","Apr 13, 2001",23,1.83,Wales,['Wales'],Right-Back,"                0
0  Right Midfield
1       Left-Back",Nottm Forest,,,"Jul 10, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
188,Lisandro Martínez,€45.00m,"May 27, 2024","Jan 18, 1998",26,1.75,Argentina,['Argentina'],Centre-Back,"                    0
0  Defensive Midfield
1           Left-Back",Man Utd,,,"Jul 27, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
189,Lewis Dunk,€12.00m,"May 27, 2024","Nov 21, 1991",32,1.92,England,[],Centre-Back,,Brighton,,,"Apr 30, 2010","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
190,Ben Doak,€10.00m,"May 27, 2024","Nov 11, 2005",18,1.73,Scotland,[],Right Winger,,Liverpool,,,"Jul 1, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
191,Amad Diallo,€18.00m,"May 27, 2024","Jul 11, 2002",21,1.73,Cote d'Ivoire,"[""Cote d'Ivoire"", 'Italy']",Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Man Utd,,,"Jan 2, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
192,Kristoffer Ajer,€15.00m,"May 27, 2024","Apr 17, 1998",26,1.98,Norway,[],Centre-Back,,Brentford,,,"Jul 21, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
193,Chem Campbell,€900k,"Dec 27, 2023","Dec 30, 2002",21,1.8,Wales,"['England', 'Wales']",Attacking Midfield,"              0
0   Left Winger
1  Right Winger",Wolves,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
